GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
inventory-store,com.myproject.store.model,Role,0,40,0,0,0,15,0,8,0,8
inventory-store,com.myproject.store.model,Supplier,0,57,0,0,0,24,0,15,0,15
inventory-store,com.myproject.store.model,Item,0,86,0,0,0,36,0,21,0,21
inventory-store,com.myproject.store.model,StockMovement.MovementType,0,15,0,0,0,3,0,1,0,1
inventory-store,com.myproject.store.model,StockMovement,3,63,0,0,1,27,1,14,1,14
inventory-store,com.myproject.store.model,Category,0,50,0,0,0,19,0,10,0,10
inventory-store,com.myproject.store.model,User,29,73,0,0,8,30,1,18,1,18
inventory-store,com.myproject.store.controller,DashboardController,2,55,0,0,1,10,1,2,1,2
inventory-store,com.myproject.store.controller,CustomErrorController,5,0,0,0,2,0,2,0,2,0
inventory-store,com.myproject.store.controller,RegistrationRestController,15,28,0,0,4,8,0,2,0,2
inventory-store,com.myproject.store.controller,RegistrationPageController,7,0,0,0,3,0,3,0,3,0
inventory-store,com.myproject.store.controller,AuthController,0,35,0,0,0,10,0,2,0,2
inventory-store,com.myproject.store.controller,CategoryController,0,69,0,0,0,19,0,7,0,7
inventory-store,com.myproject.store.controller,StockMovementController,2,126,2,2,0,30,2,6,0,6
inventory-store,com.myproject.store.controller,SupplierController,0,69,0,0,0,19,0,7,0,7
inventory-store,com.myproject.store.controller,UserController,0,107,0,0,0,27,0,5,0,5
inventory-store,com.myproject.store.controller,ItemController,0,174,0,6,0,41,0,10,0,7
inventory-store,com.myproject.store.controller,LoginPageController,5,0,0,0,2,0,2,0,2,0
inventory-store,com.myproject.store.service.impl,SupplierServiceImpl,6,30,0,0,0,9,1,5,1,5
inventory-store,com.myproject.store.service.impl,DashboardServiceImpl,5,50,1,1,0,12,1,7,0,7
inventory-store,com.myproject.store.service.impl,ItemServiceImpl,0,62,0,2,0,13,0,10,0,9
inventory-store,com.myproject.store.service.impl,StockMovementServiceImpl,0,103,0,2,0,18,0,5,0,4
inventory-store,com.myproject.store.service.impl,CategoryServiceImpl,6,35,0,0,0,10,1,6,1,6
inventory-store,com.myproject.store.service.impl,UserServiceImpl,23,91,1,1,3,23,4,5,3,5
inventory-store,com.myproject.store.dto,LoginRequest,0,17,0,0,0,7,0,5,0,5
inventory-store,com.myproject.store.dto,UserRegistrationDto,0,45,0,0,0,20,0,13,0,13
inventory-store,com.myproject.store.dto,JwtResponse,3,13,0,0,1,6,1,3,1,3
inventory-store,com.myproject.store.security,CustomUserDetailsService,0,46,0,0,0,14,0,3,0,3
inventory-store,com.myproject.store.security,JwtUtil,1,100,2,2,0,23,2,9,0,9
inventory-store,com.myproject.store.security,JwtAuthenticationEntryPoint,21,14,5,1,4,5,3,2,0,2
